Symbol,Type,System,Label,Tags
A,text,Alphabet,A,"letter, SLP, OT"
B,text,Alphabet,B,"letter, SLP, OT"
C,text,Alphabet,C,"letter, SLP, OT"
D,text,Alphabet,D,"letter, SLP, OT"
E,text,Alphabet,E,"letter, SLP, OT"
F,text,Alphabet,F,"letter, SLP, OT"
G,text,Alphabet,G,"letter, SLP, OT"
H,text,Alphabet,H,"letter, SLP, OT"
I,text,Alphabet,I,"letter, SLP, OT"
J,text,Alphabet,J,"letter, SLP, OT"
K,text,Alphabet,K,"letter, SLP, OT"
L,text,Alphabet,L,"letter, SLP, OT"
M,text,Alphabet,M,"letter, SLP, OT"
N,text,Alphabet,N,"letter, SLP, OT"
O,text,Alphabet,O,"letter, SLP, OT"
P,text,Alphabet,P,"letter, SLP, OT"
Q,text,Alphabet,Q,"letter, SLP, OT"
R,text,Alphabet,R,"letter, SLP, OT"
S,text,Alphabet,S,"letter, SLP, OT"
T,text,Alphabet,T,"letter, SLP, OT"
U,text,Alphabet,U,"letter, SLP, OT"
V,text,Alphabet,V,"letter, SLP, OT"
W,text,Alphabet,W,"letter, SLP, OT"
X,text,Alphabet,X,"letter, SLP, OT"
Y,text,Alphabet,Y,"letter, SLP, OT"
Z,text,Alphabet,Z,"letter, SLP, OT"
./images/more.png,image,Proloquo2Go,More,"symbols, OT, SLP"
./images/all-done.png,image,Proloquo2Go,All Done,"symbols, OT, SLP"
